Course Projections for Current Semester:
Snapshot Date: 2024-08-31
Course: CS722 | Enrollment: 23 | Capacity: 88 | Projected for 100%: 14
Course: CS565 | Enrollment: 40 | Capacity: 99 | Projected for 25%: 16
Course: CS565 | Enrollment: 40 | Capacity: 99 | Projected for 50%: 13
Course: CS565 | Enrollment: 40 | Capacity: 99 | Projected for 75%: 16
Course: CS565 | Enrollment: 40 | Capacity: 99 | Projected for 100%: 16
Course: CS563 | Enrollment: 95 | Capacity: 104 | Projected for 25%: 4
Course: CS563 | Enrollment: 95 | Capacity: 104 | Projected for 50%: 3
Course: CS563 | Enrollment: 95 | Capacity: 104 | Projected for 75%: 4
Course: CS563 | Enrollment: 95 | Capacity: 104 | Projected for 100%: 4
Course: CS120G | Enrollment: 54 | Capacity: 278 | Projected for 25%: 54
Course: CS120G | Enrollment: 54 | Capacity: 278 | Projected for 50%: 24
Course: CS120G | Enrollment: 54 | Capacity: 278 | Projected for 75%: 54
Course: CS120G | Enrollment: 54 | Capacity: 278 | Projected for 100%: 54
Course: CS564 | Enrollment: 144 | Capacity: 310 | Projected for 25%: 25
Course: CS564 | Enrollment: 144 | Capacity: 310 | Projected for 50%: 13
Course: CS564 | Enrollment: 144 | Capacity: 310 | Projected for 75%: 25
Course: CS564 | Enrollment: 144 | Capacity: 310 | Projected for 100%: 25
Course: CS441 | Enrollment: 11 | Capacity: 53 | Projected for 25%: 7
Course: CS441 | Enrollment: 11 | Capacity: 53 | Projected for 50%: 3
Course: CS441 | Enrollment: 11 | Capacity: 53 | Projected for 75%: 7
Course: CS441 | Enrollment: 11 | Capacity: 53 | Projected for 100%: 7
Course: CS562 | Enrollment: 233 | Capacity: 254 | Projected for 25%: 16
Course: CS562 | Enrollment: 233 | Capacity: 254 | Projected for 50%: 15
Course: CS562 | Enrollment: 233 | Capacity: 254 | Projected for 75%: 16
Course: CS562 | Enrollment: 233 | Capacity: 254 | Projected for 100%: 16
Course: CS726 | Enrollment: 9 | Capacity: 63 | Projected for 25%: 3
Course: CS726 | Enrollment: 9 | Capacity: 63 | Projected for 50%: 3
Course: CS726 | Enrollment: 9 | Capacity: 63 | Projected for 75%: 3
Course: CS726 | Enrollment: 9 | Capacity: 63 | Projected for 100%: 3
Course: CS569 | Enrollment: 12 | Capacity: 70 | Projected for 25%: 9
Course: CS569 | Enrollment: 12 | Capacity: 70 | Projected for 50%: 7
Course: CS569 | Enrollment: 12 | Capacity: 70 | Projected for 75%: 9
Course: CS569 | Enrollment: 12 | Capacity: 70 | Projected for 100%: 9
Course: CS580 | Enrollment: 27 | Capacity: 50 | Projected for 25%: 14
Course: CS580 | Enrollment: 27 | Capacity: 50 | Projected for 50%: 10
Course: CS580 | Enrollment: 27 | Capacity: 50 | Projected for 75%: 14
Course: CS580 | Enrollment: 27 | Capacity: 50 | Projected for 100%: 14
Course: CS699 | Enrollment: 4 | Capacity: 40 | Projected for 25%: 4
Course: CS699 | Enrollment: 4 | Capacity: 40 | Projected for 50%: 1
Course: CS699 | Enrollment: 4 | Capacity: 40 | Projected for 75%: 4
Course: CS699 | Enrollment: 4 | Capacity: 40 | Projected for 100%: 4
Course: CS733 | Enrollment: 40 | Capacity: 88 | Projected for 25%: 30
Course: CS733 | Enrollment: 40 | Capacity: 88 | Projected for 50%: 37
Course: CS733 | Enrollment: 40 | Capacity: 88 | Projected for 75%: 30
Course: CS733 | Enrollment: 40 | Capacity: 88 | Projected for 100%: 30
Course: CS455 | Enrollment: 40 | Capacity: 130 | Projected for 25%: 23
Course: CS455 | Enrollment: 40 | Capacity: 130 | Projected for 50%: 18
Course: CS455 | Enrollment: 40 | Capacity: 130 | Projected for 75%: 23
Course: CS455 | Enrollment: 40 | Capacity: 130 | Projected for 100%: 23
Course: CS697 | Enrollment: 6 | Capacity: 70 | Projected for 25%: 6
Course: CS697 | Enrollment: 6 | Capacity: 70 | Projected for 50%: 4
Course: CS697 | Enrollment: 6 | Capacity: 70 | Projected for 75%: 6
Course: CS697 | Enrollment: 6 | Capacity: 70 | Projected for 100%: 6
Course: CS698 | Enrollment: 0 | Capacity: 30 | Projected for 25%: 0
Course: CS698 | Enrollment: 0 | Capacity: 30 | Projected for 50%: 0
Course: CS698 | Enrollment: 0 | Capacity: 30 | Projected for 75%: 0
Course: CS698 | Enrollment: 0 | Capacity: 30 | Projected for 100%: 0
Course: CS695 | Enrollment: 39 | Capacity: 119 | Projected for 25%: 37
Course: CS695 | Enrollment: 39 | Capacity: 119 | Projected for 50%: 46
Course: CS695 | Enrollment: 39 | Capacity: 119 | Projected for 75%: 37
Course: CS695 | Enrollment: 39 | Capacity: 119 | Projected for 100%: 37
Course: CS330 | Enrollment: 110 | Capacity: 203 | Projected for 25%: 109
Course: CS330 | Enrollment: 110 | Capacity: 203 | Projected for 50%: 94
Course: CS330 | Enrollment: 110 | Capacity: 203 | Projected for 75%: 109
Course: CS330 | Enrollment: 110 | Capacity: 203 | Projected for 100%: 109
Course: CS734 | Enrollment: 9 | Capacity: 25 | Projected for 25%: 2
Course: CS734 | Enrollment: 9 | Capacity: 25 | Projected for 50%: 2
Course: CS734 | Enrollment: 9 | Capacity: 25 | Projected for 75%: 2
Course: CS734 | Enrollment: 9 | Capacity: 25 | Projected for 100%: 2
Course: CS153 | Enrollment: 57 | Capacity: 197 | Projected for 25%: 57
Course: CS153 | Enrollment: 57 | Capacity: 197 | Projected for 50%: 39
Course: CS153 | Enrollment: 57 | Capacity: 197 | Projected for 75%: 57
Course: CS153 | Enrollment: 57 | Capacity: 197 | Projected for 100%: 57
Course: CS395 | Enrollment: 0 | Capacity: 30 | Projected for 25%: 0
Course: CS395 | Enrollment: 0 | Capacity: 30 | Projected for 50%: 0
Course: CS395 | Enrollment: 0 | Capacity: 30 | Projected for 75%: 0
Course: CS395 | Enrollment: 0 | Capacity: 30 | Projected for 100%: 0
Course: CS791 | Enrollment: 1 | Capacity: 10 | Projected for 25%: 1
Course: CS791 | Enrollment: 1 | Capacity: 10 | Projected for 50%: 0
Course: CS791 | Enrollment: 1 | Capacity: 10 | Projected for 75%: 1
Course: CS791 | Enrollment: 1 | Capacity: 10 | Projected for 100%: 1
Course: CS151 | Enrollment: 336 | Capacity: 970 | Projected for 25%: 342
Course: CS151 | Enrollment: 336 | Capacity: 970 | Projected for 50%: 203
Course: CS151 | Enrollment: 336 | Capacity: 970 | Projected for 75%: 342
Course: CS151 | Enrollment: 336 | Capacity: 970 | Projected for 100%: 342
Course: CS390 | Enrollment: 73 | Capacity: 108 | Projected for 25%: 73
Course: CS390 | Enrollment: 73 | Capacity: 108 | Projected for 50%: 57
Course: CS390 | Enrollment: 73 | Capacity: 108 | Projected for 75%: 73
Course: CS390 | Enrollment: 73 | Capacity: 108 | Projected for 100%: 73
Course: CS270 | Enrollment: 75 | Capacity: 153 | Projected for 25%: 75
Course: CS270 | Enrollment: 75 | Capacity: 153 | Projected for 50%: 62
Course: CS270 | Enrollment: 75 | Capacity: 153 | Projected for 75%: 75
Course: CS270 | Enrollment: 75 | Capacity: 153 | Projected for 100%: 75
Course: CS422 | Enrollment: 26 | Capacity: 78 | Projected for 25%: 18
Course: CS422 | Enrollment: 26 | Capacity: 78 | Projected for 50%: 17
Course: CS422 | Enrollment: 26 | Capacity: 78 | Projected for 75%: 18
Course: CS422 | Enrollment: 26 | Capacity: 78 | Projected for 100%: 18
Course: CS665 | Enrollment: 85 | Capacity: 267 | Projected for 25%: 85
Course: CS665 | Enrollment: 85 | Capacity: 267 | Projected for 50%: 76
Course: CS665 | Enrollment: 85 | Capacity: 267 | Projected for 75%: 85
Course: CS665 | Enrollment: 85 | Capacity: 267 | Projected for 100%: 85
Course: CS541 | Enrollment: 11 | Capacity: 33 | Projected for 25%: 4
Course: CS541 | Enrollment: 11 | Capacity: 33 | Projected for 50%: 4
Course: CS541 | Enrollment: 11 | Capacity: 33 | Projected for 75%: 4
Course: CS541 | Enrollment: 11 | Capacity: 33 | Projected for 100%: 4
Course: CS826 | Enrollment: 9 | Capacity: 63 | Projected for 25%: 6
Course: CS826 | Enrollment: 9 | Capacity: 63 | Projected for 50%: 4
Course: CS826 | Enrollment: 9 | Capacity: 63 | Projected for 75%: 6
Course: CS826 | Enrollment: 9 | Capacity: 63 | Projected for 100%: 6
Course: CS668 | Enrollment: 0 | Capacity: 20 | Projected for 25%: 0
Course: CS668 | Enrollment: 0 | Capacity: 20 | Projected for 50%: 0
Course: CS668 | Enrollment: 0 | Capacity: 20 | Projected for 75%: 0
Course: CS668 | Enrollment: 0 | Capacity: 20 | Projected for 100%: 0
Course: CS822 | Enrollment: 23 | Capacity: 88 | Projected for 25%: 9
Course: CS822 | Enrollment: 23 | Capacity: 88 | Projected for 50%: 4
Course: CS822 | Enrollment: 23 | Capacity: 88 | Projected for 75%: 9
Course: CS822 | Enrollment: 23 | Capacity: 88 | Projected for 100%: 9
Course: CS315 | Enrollment: 61 | Capacity: 156 | Projected for 25%: 61
Course: CS315 | Enrollment: 61 | Capacity: 156 | Projected for 50%: 50
Course: CS315 | Enrollment: 61 | Capacity: 156 | Projected for 75%: 61
Course: CS315 | Enrollment: 61 | Capacity: 156 | Projected for 100%: 61
Course: CS312 | Enrollment: 47 | Capacity: 111 | Projected for 25%: 47
Course: CS312 | Enrollment: 47 | Capacity: 111 | Projected for 50%: 38
Course: CS312 | Enrollment: 47 | Capacity: 111 | Projected for 75%: 47
Course: CS312 | Enrollment: 47 | Capacity: 111 | Projected for 100%: 47
Course: CS433 | Enrollment: 4 | Capacity: 78 | Projected for 25%: 0
Course: CS433 | Enrollment: 4 | Capacity: 78 | Projected for 50%: 0
Course: CS433 | Enrollment: 4 | Capacity: 78 | Projected for 75%: 0
Course: CS433 | Enrollment: 4 | Capacity: 78 | Projected for 100%: 0
Course: CS555 | Enrollment: 40 | Capacity: 130 | Projected for 25%: 17
